epoch,train_loss,val_loss,val_dice,val_iou,val_nonempty_dice,val_nonempty_iou,val_empty_accuracy,learning_rate,epoch_seconds
1,0.410721714201916,0.1581948183817801,0.917526953294136,0.8627774179177577,0.9133749921327426,0.8558691872408486,1.0,0.0001,73.57703969399995
2,0.1431110588189142,0.0759391225874424,0.9348562565955636,0.8897674013645289,0.9315767088726858,0.8842179341563359,1.0,0.0001,72.22529271999997
3,0.0806147104229097,0.0589630372156764,0.943757707736936,0.903848209888126,0.9409262879891388,0.8990076163355832,1.0,0.0001,72.40191653399984
4,0.0626959380339511,0.0576699135260968,0.9458541911457156,0.907651369955416,0.943128315185088,0.9030022398387548,1.0,0.0001,72.40580970299993
5,0.0459549050694983,0.0316592695106283,0.9488793142071024,0.9130644680261504,0.9463057327713044,0.908687850855842,1.0,0.0001,72.43922544500015
6,0.0325409283495378,0.0314927216059242,0.9491638748149048,0.9137788339287888,0.9466046190847628,0.9094381802592996,1.0,0.0001,72.50700423099988
7,0.0287898939301678,0.0304214135096418,0.9507006252284098,0.91639637892067,0.9482187345076432,0.9121875009715964,1.0,0.0001,72.52813281900012
8,0.027250497380062116,0.03173501193442246,0.9486707024178175,0.9132177582599006,0.9460866187866779,0.9088488582180649,1.0,0.0001,75.05680540699996
9,0.026805827363193636,0.03037890283013481,0.9504519289622401,0.9164040379672933,0.9479575180633136,0.9121955455995141,1.0,0.0001,73.82279118399993
10,0.02568373925275969,0.03183245538350414,0.9483566735291155,0.91266124121425,0.9457567806633044,0.908264324295974,1.0,0.0001,73.85648078100007
11,0.025177278746859662,0.031519283006913264,0.9488381568871314,0.9134428834462436,0.9462625034581083,0.9090853169378165,1.0,0.0001,73.99433770500013
12,0.02482616211387326,0.02928601891565297,0.9513233332993071,0.9172494668104914,0.9488727917262745,0.9130835360778385,1.0,0.0001,73.9188319079999
13,0.02379282485422892,0.028684843084034316,0.9523285677864451,0.9192463566713667,0.9499286329839323,0.9151809558630603,1.0,0.0001,73.99061193299985
14,0.023356462017932983,0.029177457751596674,0.951947262325844,0.919360004518224,0.9495281313674195,0.9153003251118187,1.0,0.0001,73.74921613200013
15,0.025682475600414954,0.030271405630089617,0.9509299071401797,0.9175814314155258,0.9484595592158866,0.9134322128597858,1.0,0.0001,73.66949021299979
16,0.02375678194693363,0.028661778752645375,0.9521877662929787,0.9194593457357499,0.9497807430857603,0.9154046674890371,1.0,5e-05,73.64869143499982
17,0.022081492133763144,0.027839843938553255,0.9539761721813316,0.9221941402162344,0.9516591831378288,0.9182771404101866,1.0,5e-05,73.69055196
18,0.02193621131207357,0.02772828523873114,0.9543748600012747,0.923047566716065,0.9520779421981351,0.9191735311731666,1.0,5e-05,73.67568146299982
19,0.021486240514424007,0.02715402923134807,0.9550091543610516,0.9241032078606414,0.9527441689970769,0.9202823167231909,1.0,5e-05,73.68740375900006
20,0.021429500337958887,0.027412747152652874,0.9545500555624683,0.9233344207035101,0.9522619576731646,0.9194748263224511,1.0,5e-05,73.73849578299996
